0,1,0,0,0,0
0.1,1.20372,4.07142,6.18177,-2.01703,201096
0.2,1.69196,5.6818,5.94445,-2.69809,234396
0.3,2.03636,1.2198,5.78693,-0.471038,477276
0.4,2.30228,4.09104,5.68958,-1.45396,585339
0.5,2.709,4.04402,5.55976,-1.13473,585341
0.6,3.15265,4.82772,5.44896,-1.06914,594690
0.7,3.50033,2.1301,5.4047,0.177388,688992
0.8,3.92519,6.36391,5.37391,-0.782324,935188
0.9,4.40965,3.32669,5.36098,0.521483,1.05668e+06
1,4.94554,7.39205,5.37029,-0.33853,1.28459e+06
1.1,5.47043,3.09859,5.42155,1.37749,1.52778e+06
1.2,5.69801,1.4431,5.6054,2.31013,1.5604e+06
1.3,5.92627,3.13339,5.81579,1.86253,1.60044e+06
1.4,6.28927,4.13275,5.98896,1.57951,1.6141e+06
1.5,6.5281,0.642789,6.23728,3.3802,1.75964e+06
1.6,6.7981,4.76015,0.188354,1.29108,1.96387e+06
1.7,7.23742,4.03018,0.329636,1.51932,1.97096e+06
1.8,7.46565,0.556172,0.552871,2.89183,2.1281e+06
1.9,7.46414,-0.573698,0.849936,3.00811,2.14915e+06
2,7.61471,3.55767,1.06946,1.442,2.36997e+06
2.1,7.90577,2.26314,1.20585,1.2679,2.39562e+06
2.2,8.25364,4.68799,1.28978,0.425524,2.47645e+06
2.3,8.68167,3.87207,1.31415,0.0598919,2.48644e+06
2.4,8.92649,1.02417,1.31444,-0.0542524,2.60363e+06
2.5,8.94363,-0.681121,1.29631,-0.305419,2.64607e+06
2.6,8.88501,-0.489112,1.24093,-0.801973,2.64645e+06
2.7,8.66152,-3.98302,1.16815,-0.631272,2.82203e+06
2.8,8.40314,-1.17401,1.05348,-1.68437,2.92789e+06
2.9,8.46938,2.52573,0.813978,-3.16158,3.10196e+06
3,8.71975,2.47482,0.482821,-3.43654,3.10252e+06
3.1,8.80461,-0.802904,0.205511,-2.05134,3.24136e+06
3.2,8.78281,0.36095,6.2514,-2.67435,3.25733e+06
3.3,8.87206,1.40984,5.9607,-3.10497,3.27183e+06
3.4,8.83169,-2.20319,5.74299,-1.26738,3.42896e+06
3.5,8.58725,-2.68422,5.63974,-0.793526,3.43133e+06
3.6,8.34033,-2.25452,5.56715,-0.652043,3.4343e+06
3.7,8.32097,1.85369,5.44307,-1.78769,3.6637e+06
3.8,8.48057,1.34317,5.29146,-1.24354,3.6663e+06
3.9,8.79744,4.98484,5.14182,-1.70114,3.85679e+06
4,9.40294,7.1241,4.97502,-1.60216,3.92572e+06
4.1,10.1878,8.57677,4.83113,-1.25656,3.958e+06
4.2,11.0648,8.96704,4.72911,-0.780095,3.96046e+06
4.3,11.8478,6.69545,4.67531,-0.306209,4.0345e+06
4.4,12.5664,7.67625,4.67022,0.204833,4.04826e+06
4.5,13.1877,4.74863,4.71287,0.658637,4.17155e+06
4.6,13.6754,5.00112,4.80305,1.14289,4.1726e+06
4.7,14.2843,7.17504,4.93448,1.46054,4.24295e+06
4.8,15.0005,7.14335,5.10428,1.9326,4.24297e+06
4.9,15.7594,8.03316,5.30964,2.1535,4.25648e+06
5,16.3518,3.77914,5.61041,3.93581,4.48034e+06
5.1,16.7989,5.19108,5.98708,3.53789,4.51116e+06
5.2,17.5084,9.01707,6.25233,1.72348,4.69254e+06
5.3,18.1864,4.56173,0.251916,3.88926,4.93635e+06
5.4,18.517,2.09878,0.689415,4.76729,5.02474e+06
5.5,18.9332,6.18535,1.07891,3.11802,5.2239e+06
5.6,19.5664,6.46829,1.36532,2.61016,5.22413e+06
5.7,20.1425,5.0455,1.60633,2.18018,5.25759e+06
5.8,20.5257,2.60887,1.79373,1.5315,5.34617e+06
5.9,20.877,4.41539,1.93543,1.32591,5.39201e+06
6,21.2983,4.00509,2.04151,0.795012,5.39422e+06
6.1,21.7439,4.90679,2.11018,0.585466,5.40618e+06
6.2,22.2515,5.24438,2.15238,0.261275,5.40809e+06
6.3,22.726,4.24722,2.14432,-0.422302,5.42068e+06
6.4,23.1036,3.30776,2.06885,-1.08418,5.43212e+06
6.5,23.3745,2.11919,1.92526,-1.77768,5.4519e+06
6.6,23.6853,4.09887,1.73837,-1.99349,5.50567e+06
6.7,24.069,3.58451,1.51339,-2.49734,5.51074e+06
6.8,24.5581,6.21569,1.22995,-3.22938,5.59896e+06
6.9,25.1671,5.9667,0.887765,-3.59501,5.60184e+06
7,25.6928,4.52585,0.536753,-3.36837,5.63622e+06
7.1,26.0322,2.23908,0.241018,-2.49223,5.7064e+06
7.2,26.4204,5.51446,6.1904,-4.15881,5.83502e+06
7.3,27.0898,7.82236,5.7233,-5.09467,5.90978e+06
7.4,27.9442,9.22459,5.20334,-5.21807,5.95197e+06
7.5,28.7402,6.72234,4.72474,-4.44348,6.01556e+06
7.6,29.4397,7.28914,4.30641,-3.90831,6.02556e+06
7.7,30.1302,6.53116,3.92688,-3.71667,6.03035e+06
7.8,30.5843,2.5277,3.49123,-5.11414,6.22123e+06
7.9,30.9708,5.22986,3.04971,-3.72594,6.31265e+06
8,31.3816,3.02284,2.61726,-4.91654,6.37713e+06
8.1,31.804,5.41873,2.15656,-4.38901,6.44009e+06
8.2,32.2708,3.95751,1.67977,-5.09915,6.48537e+06
8.3,32.7924,6.49978,1.14145,-5.77416,6.54584e+06
8.4,33.4132,5.87812,0.552898,-5.9298,6.56208e+06
8.5,34.1563,8.91128,6.16283,-7.48583,6.66211e+06
8.6,34.8206,4.36743,5.52776,-5.26868,6.88616e+06
8.7,35.1943,3.1177,5.03918,-4.52671,6.89663e+06
