50,1,2.5
7.7,31.8918,1.98152,3.40635,-0.390863,259.831,7.53034e+06
7.8,31.8986,-1.87403,3.30182,-1.72206,-412.986,7.7009e+06
7.9,31.6697,-2.70933,3.11593,-2.00927,-86.7204,7.70842e+06
8,31.6084,1.4658,2.99208,-0.485396,435.192,7.89781e+06
8.1,31.7519,1.40131,2.93935,-0.573451,0.54994,7.89781e+06
8.2,31.9853,3.26048,2.91227,0.0278172,205.268,7.93995e+06
8.3,32.2956,2.94542,2.90509,-0.171911,-22.981,7.94047e+06
8.4,32.5666,2.47428,2.87486,-0.434487,-39.1721,7.94201e+06
8.5,32.9477,5.14815,2.87481,0.433553,296.414,8.02987e+06
8.6,33.3837,3.57148,2.88482,-0.233193,-156.03,8.05422e+06
8.7,33.8139,5.03175,2.88328,0.202033,166.43,8.08191e+06
8.8,34.3125,4.94007,2.89719,0.077381,1.27964,8.08192e+06
8.9,35.0067,8.96653,2.974,1.47554,431.495,8.2681e+06
9,35.6745,4.38218,3.03385,-0.279794,-471.021,8.48996e+06
9.1,36.1608,5.34253,3.02172,0.0359917,104.814,8.50095e+06
9.2,36.9112,9.67937,3.10418,1.62525,451.979,8.70524e+06
9.3,37.9331,10.756,3.28734,2.04753,111.274,8.71762e+06
9.4,38.9727,10.0433,3.48277,1.87715,-74.785,8.72321e+06
9.5,39.7681,5.91476,3.60495,0.603618,-465.663,8.94005e+06
9.6,40.3237,5.20355,3.66195,0.542149,-97.9838,8.94965e+06
9.7,40.8328,4.97841,3.72198,0.66231,-44.2053,8.95161e+06
9.8,41.3455,5.27065,3.80329,0.965407,17.8609,8.95193e+06
9.9,42.0364,8.47257,3.95871,2.10848,395.135,9.10806e+06
10,42.8073,6.95445,4.16569,2.05637,-180.987,9.14081e+06
10.1,43.5437,7.72231,4.39477,2.51321,150.699,9.16352e+06
10.2,44.4435,10.2007,4.67498,3.04618,455.627,9.37112e+06
10.3,45.3508,7.88204,5.00088,3.51932,-208.398,9.41455e+06
10.4,45.906,3.04362,5.40503,4.69132,-476.454,9.64156e+06
10.5,46.2333,3.67435,5.87951,4.71236,261.841,9.71012e+06
10.6,46.7027,5.95357,0.0350464,3.93679,291.98,9.79537e+06
10.7,47.3269,6.64092,0.4151,3.60556,23.7263,9.79593e+06
10.8,48.0051,6.96475,0.761839,3.30222,-65.173,9.80018e+06
10.9,48.7098,7.12592,1.07603,2.97327,-98.0244,9.80979e+06
11,49.3517,5.71309,1.36667,2.80877,-317.224,9.91042e+06
